728015,727967 
5018286,5.01828e+06 
8379083,8.37908e+06 
527878,527845 
3790223,3.79022e+06 
1943367,1.94337e+06 
4322678,4.32268e+06 
3069706,3.0697e+06 
7619486,7.61948e+06 
5486103,5.4861e+06 
8703452,8.70345e+06 
5781659,5.78166e+06 
9370684,9.37068e+06 
362966,362966 
3241358,3.24136e+06 
6122135,6.12213e+06 
3479111,3.47911e+06 
4611270,4.61127e+06 
7321746,7.32174e+06 
3300365,3.30036e+06 
5637623,5.63141e+06 
4695519,4.69552e+06 
8711120,8.71112e+06 
2627882,2.62788e+06 
3219961,3.21826e+06 
2518610,2.51777e+06 
234570,234568 
9514728,9.51473e+06 
4498110,4.49811e+06 
5329424,5.32942e+06 
3202612,3.20261e+06 
4664463,4.66446e+06 
5030560,5.03056e+06 
9485321,9.48992e+06 
3186398,3.1864e+06 
1848430,1.84802e+06 
8070225,8.07022e+06 
1170890,1.17089e+06 
6816562,6.81656e+06 
5289240,5.28924e+06 
1699162,1.69896e+06 
4747361,4.74736e+06 
1364611,1.36461e+06 
4740837,4.74083e+06 
4894999,4.895e+06 
4767656,4.76765e+06 
4773601,4.7736e+06 
2814619,2.81462e+06 
5008286,5.00828e+06 
8293903,8.2939e+06 
